"student_id","date_registered","first_date_watched","first_date_purchased","days_diff_reg_watch","days_diff_watch_purch"
268545,"2022-03-25","2022-03-27","2022-03-27","2","0"
277099,"2022-06-08","2022-06-08","2022-06-08","0","0"
271140,"2022-04-18","2022-04-18","2022-04-18","0","0"
291988,"2022-09-25","2022-10-03","2022-09-25","8","-8"
289096,"2022-09-02","2022-09-02","2022-09-02","0","0"
296813,"2022-10-30","2022-10-30","2022-10-30","0","0"
267721,"2022-03-17","2022-03-17","2022-03-18","0","1"
277322,"2022-06-10","2022-07-07","2022-07-07","27","0"
255262,"2021-12-01","2021-12-24","2021-12-24","23","0"
269796,"2022-04-06","2022-04-06","2022-04-06","0","0"
255241,"2021-12-01","2022-01-26","2022-03-21","56","54"
263112,"2022-02-08","2022-02-08","2022-02-08","0","0"
291528,"2022-09-21","2022-09-21","2022-11-24","0","64"
291743,"2022-09-22","2022-09-23","2022-09-22","1","-1"
274475,"2022-05-19","2022-05-19","2022-05-31","0","12"
263693,"2022-02-15","2022-03-07","2022-03-07","20","0"
260126,"2022-01-12","2022-01-12","2022-01-12","0","0"
275567,"2022-05-31","2022-05-31","2022-06-02","0","2"
259515,"2022-01-06","2022-01-06","2023-08-02","0","573"
295689,"2022-10-22","2022-10-22","2023-05-20","0","210"
282235,"2022-07-21","2022-07-21","2022-07-27","0","6"
257691,"2021-12-21","2021-12-21","2023-05-19","0","514"
263138,"2022-02-09","2022-02-09","2022-11-28","0","292"
265302,"2022-02-28","2022-02-28","2022-03-01","0","1"
258559,"2021-12-29","2021-12-29","2022-08-25","0","239"
292462,"2022-09-28","2022-10-10","2022-09-28","12","-12"
282322,"2022-07-22","2022-07-22","2022-07-22","0","0"
263480,"2022-02-13","2022-02-13","2022-02-13","0","0"
296051,"2022-10-25","2022-10-25","2022-10-25","0","0"
288708,"2022-08-30","2022-09-01","2022-11-23","2","83"
255218,"2021-12-01","2021-12-01","2021-12-01","0","0"
276265,"2022-06-03","2022-06-06","2022-06-06","3","0"
291405,"2022-09-20","2022-09-20","2022-11-23","0","64"
266308,"2022-03-07","2022-03-07","2022-03-07","0","0"
259983,"2022-01-11","2022-01-11","2022-01-11","0","0"
266065,"2022-03-06","2022-03-06","2022-03-06","0","0"
282726,"2022-07-26","2022-07-26","2022-07-26","0","0"
268572,"2022-03-25","2022-07-25","2022-03-25","122","-122"
268922,"2022-03-29","2022-03-30","2022-03-30","1","0"
261805,"2022-01-28","2022-01-28","2022-01-28","0","0"
256270,"2021-12-08","2021-12-09","2021-12-09","1","0"
262073,"2022-01-31","2022-01-31","2022-11-26","0","299"
286473,"2022-08-16","2022-08-16","2022-08-16","0","0"
296033,"2022-10-25","2022-10-25","2022-10-26","0","1"
275490,"2022-05-31","2022-06-01","2022-05-31","1","-1"
273684,"2022-05-12","2022-05-12","2022-05-12","0","0"
283008,"2022-07-29","2022-07-29","2022-12-29","0","153"
275572,"2022-05-31","2022-06-01","2022-05-31","1","-1"
258791,"2021-12-31","2022-01-01","2021-12-31","1","-1"
263065,"2022-02-08","2022-02-08","2022-02-08","0","0"
262761,"2022-02-05","2022-02-05","2022-03-22","0","45"
289232,"2022-09-02","2022-09-08","2022-09-08","6","0"
269209,"2022-04-01","2022-04-01","2023-01-18","0","292"
289517,"2022-09-05","2022-09-07","2022-09-07","2","0"
284858,"2022-08-11","2022-08-11","2022-08-11","0","0"
287530,"2022-08-21","2022-09-29","2023-03-31","39","183"
260754,"2022-01-17","2022-01-17","2022-01-21","0","4"
294949,"2022-10-16","2022-10-16","2022-10-17","0","1"
263859,"2022-02-16","2022-03-02","2022-02-20","14","-10"
275148,"2022-05-26","2022-05-30","2022-05-31","4","1"
291356,"2022-09-19","2022-09-20","2022-09-20","1","0"
281870,"2022-07-17","2022-07-17","2022-07-27","0","10"
295655,"2022-10-22","2022-10-22","2022-10-22","0","0"
271243,"2022-04-19","2022-04-19","2022-04-28","0","9"
261662,"2022-01-26","2022-01-26","2022-01-26","0","0"
284342,"2022-08-08","2022-08-08","2022-08-08","0","0"
275103,"2022-05-26","2022-05-26","2022-05-27","0","1"
256990,"2021-12-14","2021-12-16","2021-12-16","2","0"
276542,"2022-06-04","2022-06-04","2022-06-13","0","9"
277066,"2022-06-08","2022-06-08","2022-06-10","0","2"
274630,"2022-05-21","2022-05-26","2022-05-23","5","-3"
280324,"2022-07-04","2022-07-04","2022-07-06","0","2"
282430,"2022-07-23","2022-07-23","2022-07-23","0","0"
268714,"2022-03-27","2022-03-27","2022-03-27","0","0"
292924,"2022-10-02","2022-10-02","2022-10-08","0","6"
288691,"2022-08-30","2022-09-20","2022-09-05","21","-15"
293356,"2022-10-05","2022-10-05","2022-10-05","0","0"
262677,"2022-02-04","2022-02-04","2022-02-04","0","0"
291550,"2022-09-21","2022-09-21","2022-09-21","0","0"
295007,"2022-10-17","2022-10-24","2022-11-27","7","34"
291949,"2022-09-24","2022-09-24","2022-09-24","0","0"
264118,"2022-02-18","2022-02-18","2022-02-22","0","4"
273499,"2022-05-11","2022-09-28","2022-05-11","140","-140"
280121,"2022-07-02","2022-07-05","2022-07-05","3","0"
271228,"2022-04-19","2022-04-20","2022-04-19","1","-1"
255924,"2021-12-06","2021-12-07","2021-12-06","1","-1"
278760,"2022-06-21","2022-06-21","2022-06-21","0","0"
292411,"2022-09-28","2022-09-28","2022-09-28","0","0"
292611,"2022-09-29","2022-09-30","2022-09-29","1","-1"
273068,"2022-05-07","2022-05-07","2022-05-14","0","7"
296291,"2022-10-26","2022-10-26","2022-10-28","0","2"
256527,"2021-12-10","2021-12-10","2021-12-10","0","0"
274433,"2022-05-19","2022-05-19","2022-05-20","0","1"
269174,"2022-04-01","2022-04-04","2022-04-01","3","-3"
256969,"2021-12-14","2022-01-02","2021-12-31","19","-2"
265093,"2022-02-26","2022-02-26","2022-02-27","0","1"
272696,"2022-05-03","2022-05-03","2022-05-03","0","0"
291998,"2022-09-25","2022-09-26","2022-09-26","1","0"
260132,"2022-01-12","2022-01-12","2022-01-12","0","0"
281551,"2022-07-14","2022-07-14","2022-11-28","0","137"
282094,"2022-07-19","2022-07-19","2022-07-19","0","0"
263087,"2022-02-08","2022-02-10","2022-02-11","2","1"
268786,"2022-03-28","2022-03-28","2022-03-28","0","0"
255472,"2021-12-02","2022-07-31","2022-03-29","241","-124"
281196,"2022-07-11","2022-07-11","2022-07-13","0","2"
282751,"2022-07-27","2022-08-02","2022-08-02","6","0"
277945,"2022-06-15","2022-06-15","2022-06-15","0","0"
268792,"2022-03-28","2022-03-30","2022-03-30","2","0"
262861,"2022-02-06","2022-02-06","2022-02-06","0","0"
294113,"2022-10-10","2022-10-10","2022-10-13","0","3"
259635,"2022-01-07","2022-01-07","2022-01-07","0","0"
277814,"2022-06-14","2022-06-16","2022-06-16","2","0"
260831,"2022-01-18","2022-01-22","2022-01-22","4","0"
261349,"2022-01-23","2022-03-03","2022-01-23","39","-39"
292486,"2022-09-29","2022-09-29","2022-09-29","0","0"
261828,"2022-01-28","2022-01-28","2022-02-11","0","14"
286631,"2022-08-16","2022-08-16","2023-08-16","0","365"
261022,"2022-01-20","2022-01-20","2022-01-20","0","0"
271348,"2022-04-20","2022-04-20","2022-04-20","0","0"
260111,"2022-01-12","2022-01-12","2022-01-12","0","0"
263456,"2022-02-12","2022-02-12","2022-05-29","0","106"
261768,"2022-01-27","2022-02-14","2022-01-27","18","-18"
261086,"2022-01-20","2022-01-20","2022-01-20","0","0"
259171,"2022-01-04","2022-01-04","2022-01-25","0","21"
272951,"2022-05-05","2022-09-27","2022-05-05","145","-145"
274335,"2022-05-18","2022-05-18","2022-05-18","0","0"
275092,"2022-05-26","2022-05-28","2022-05-28","2","0"
286563,"2022-08-16","2022-08-16","2022-08-18","0","2"
280140,"2022-07-03","2022-07-03","2022-07-03","0","0"
270042,"2022-04-08","2022-04-09","2022-04-09","1","0"
259664,"2022-01-08","2022-01-10","2022-01-10","2","0"
273523,"2022-05-11","2022-05-17","2022-05-16","6","-1"
263531,"2022-02-13","2022-02-14","2022-02-13","1","-1"
258221,"2021-12-27","2021-12-27","2021-12-27","0","0"
282591,"2022-07-25","2022-07-25","2022-07-25","0","0"
280134,"2022-07-03","2022-07-04","2022-07-04","1","0"
282393,"2022-07-23","2022-07-23","2022-07-23","0","0"
275479,"2022-05-30","2022-06-14","2022-05-30","15","-15"
274576,"2022-05-20","2022-05-20","2022-05-20","0","0"
269934,"2022-04-07","2022-04-07","2022-04-07","0","0"
269741,"2022-04-05","2022-04-05","2022-04-07","0","2"
287721,"2022-08-23","2022-08-23","2022-08-23","0","0"
278995,"2022-06-23","2022-06-23","2022-06-23","0","0"
293345,"2022-10-05","2022-10-05","2022-10-05","0","0"
288003,"2022-08-25","2022-08-26","2022-08-25","1","-1"
271935,"2022-04-25","2022-04-25","2022-09-27","0","155"
287926,"2022-08-24","2022-08-24","2022-08-24","0","0"
260952,"2022-01-19","2022-01-19","2022-01-19","0","0"
263086,"2022-02-08","2022-02-15","2022-03-30","7","43"
272792,"2022-05-04","2022-05-14","2022-06-18","10","35"
272457,"2022-04-30","2022-04-30","2022-04-30","0","0"
279178,"2022-06-25","2022-06-25","2022-07-02","0","7"
260572,"2022-01-15","2022-01-15","2022-01-19","0","4"
267824,"2022-03-18","2022-03-18","2022-05-22","0","65"
269843,"2022-04-06","2022-04-06","2022-04-06","0","0"
274882,"2022-05-24","2022-05-24","2022-05-30","0","6"
265076,"2022-02-26","2022-02-26","2022-11-28","0","275"
256393,"2021-12-09","2021-12-13","2021-12-09","4","-4"
260403,"2022-01-14","2022-01-14","2023-07-11","0","543"
256970,"2021-12-14","2021-12-14","2021-12-17","0","3"
260321,"2022-01-13","2022-01-16","2022-01-15","3","-1"
292818,"2022-10-01","2022-10-01","2022-10-01","0","0"
261518,"2022-01-25","2022-01-25","2022-01-25","0","0"
260916,"2022-01-19","2022-01-19","2022-01-25","0","6"
283029,"2022-07-30","2022-08-02","2022-07-30","3","-3"
258822,"2022-01-01","2022-01-01","2022-01-09","0","8"
259408,"2022-01-05","2022-01-06","2022-01-05","1","-1"
259361,"2022-01-05","2022-07-28","2022-07-28","204","0"
267778,"2022-03-18","2022-03-18","2022-03-18","0","0"
259884,"2022-01-10","2022-01-10","2022-04-07","0","87"
285352,"2022-08-14","2022-08-14","2022-08-14","0","0"
269016,"2022-03-30","2022-03-30","2022-03-30","0","0"
268374,"2022-03-23","2022-03-24","2022-03-24","1","0"
275343,"2022-05-29","2022-05-29","2022-05-29","0","0"
265927,"2022-03-05","2022-03-05","2022-03-29","0","24"
266731,"2022-03-10","2022-03-10","2022-04-08","0","29"
273994,"2022-05-15","2022-05-21","2022-05-21","6","0"
294560,"2022-10-13","2022-10-13","2022-10-16","0","3"
275038,"2022-05-25","2022-06-01","2022-05-31","7","-1"
280868,"2022-07-09","2022-07-10","2022-07-10","1","0"
259486,"2022-01-06","2022-01-06","2022-07-20","0","195"
280159,"2022-07-03","2022-07-03","2022-07-04","0","1"
271787,"2022-04-24","2022-04-24","2022-04-25","0","1"
258223,"2021-12-27","2021-12-27","2021-12-27","0","0"
267878,"2022-03-18","2022-03-18","2022-06-01","0","75"
264552,"2022-02-22","2022-02-22","2022-03-14","0","20"
264549,"2022-02-22","2022-02-22","2022-02-24","0","2"
292423,"2022-09-28","2022-09-29","2022-09-29","1","0"
261268,"2022-01-22","2022-01-22","2022-01-22","0","0"
292627,"2022-09-30","2022-09-30","2022-09-30","0","0"
287330,"2022-08-20","2022-08-20","2022-08-23","0","3"
288948,"2022-08-31","2022-08-31","2022-10-15","0","45"
272425,"2022-04-30","2022-04-30","2022-04-30","0","0"
258256,"2021-12-27","2021-12-27","2022-03-28","0","91"
259190,"2022-01-04","2022-01-04","2022-07-18","0","195"
281628,"2022-07-15","2022-07-15","2022-07-15","0","0"
267916,"2022-03-19","2022-03-19","2022-03-19","0","0"
260211,"2022-01-13","2022-01-13","2022-01-14","0","1"
292601,"2022-09-29","2022-09-29","2022-09-29","0","0"
283031,"2022-07-30","2022-08-05","2022-07-30","6","-6"
282546,"2022-07-25","2022-07-26","2022-07-25","1","-1"
273126,"2022-05-07","2022-05-07","2022-05-07","0","0"
267358,"2022-03-15","2022-03-16","2022-03-15","1","-1"
292572,"2022-09-29","2022-09-29","2022-09-29","0","0"
291024,"2022-09-17","2022-10-23","2022-09-17","36","-36"
275302,"2022-05-28","2022-05-28","2022-11-24","0","180"
261455,"2022-01-24","2022-01-25","2022-01-26","1","1"
269594,"2022-04-04","2022-04-04","2022-04-04","0","0"
283745,"2022-08-03","2022-08-03","2022-08-04","0","1"
272907,"2022-05-05","2022-05-10","2022-05-05","5","-5"
268915,"2022-03-29","2022-03-30","2022-03-29","1","-1"
268989,"2022-03-30","2022-03-31","2022-03-30","1","-1"
284180,"2022-08-06","2022-08-07","2022-08-24","1","17"
262270,"2022-02-01","2022-02-18","2022-02-19","17","1"
264826,"2022-02-24","2022-02-24","2022-02-25","0","1"
275033,"2022-05-25","2022-05-29","2022-05-29","4","0"
289024,"2022-09-01","2022-09-01","2022-09-08","0","7"
270529,"2022-04-12","2022-08-26","2022-04-13","136","-135"
277791,"2022-06-14","2022-06-14","2022-06-14","0","0"
292694,"2022-09-30","2022-09-30","2023-05-26","0","238"
258495,"2021-12-29","2021-12-29","2022-11-28","0","334"
256570,"2021-12-11","2021-12-21","2021-12-21","10","0"
276553,"2022-06-04","2022-06-04","2022-06-04","0","0"
268177,"2022-03-21","2022-03-21","2022-03-21","0","0"
268293,"2022-03-22","2022-03-22","2022-03-23","0","1"
259261,"2022-01-04","2022-01-07","2022-01-04","3","-3"
274498,"2022-05-19","2022-05-19","2022-05-21","0","2"
271257,"2022-04-19","2022-04-19","2022-11-26","0","221"
273136,"2022-05-07","2022-07-27","2022-07-27","81","0"
262414,"2022-02-03","2022-02-03","2022-02-03","0","0"
261177,"2022-01-21","2022-02-01","2022-01-21","11","-11"
271197,"2022-04-18","2022-04-25","2022-04-25","7","0"
271508,"2022-04-21","2022-05-03","2022-05-20","12","17"
265906,"2022-03-04","2022-03-04","2022-03-31","0","27"
268827,"2022-03-28","2022-06-04","2022-03-28","68","-68"
263934,"2022-02-17","2022-03-21","2022-03-21","32","0"
269293,"2022-04-01","2022-05-31","2022-11-30","60","183"
290953,"2022-09-16","2022-09-16","2022-09-18","0","2"
270607,"2022-04-12","2022-04-12","2022-09-29","0","170"
273758,"2022-05-13","2022-05-13","2022-05-13","0","0"
292499,"2022-09-29","2022-10-15","2022-10-17","16","2"
293154,"2022-10-03","2022-10-03","2023-05-19","0","228"
275154,"2022-05-26","2022-05-26","2022-05-27","0","1"
265196,"2022-02-27","2022-02-27","2022-03-27","0","28"
283576,"2022-08-02","2022-08-06","2022-08-09","4","3"
260324,"2022-01-13","2022-01-13","2022-01-13","0","0"
268412,"2022-03-23","2022-03-23","2022-03-23","0","0"
295781,"2022-10-23","2022-10-24","2022-10-23","1","-1"
296644,"2022-10-28","2022-10-28","2022-10-29","0","1"
260176,"2022-01-12","2022-01-12","2022-01-19","0","7"
277562,"2022-06-12","2022-06-12","2022-06-12","0","0"
292608,"2022-09-29","2022-09-29","2022-09-29","0","0"
283473,"2022-08-01","2022-08-01","2022-08-01","0","0"
292720,"2022-09-30","2022-09-30","2022-10-06","0","6"
295088,"2022-10-17","2022-10-17","2022-10-18","0","1"
258141,"2021-12-26","2021-12-26","2021-12-26","0","0"
275518,"2022-05-31","2022-06-05","2022-06-01","5","-4"
283456,"2022-08-01","2022-08-01","2022-08-05","0","4"
273303,"2022-05-09","2022-05-09","2022-11-22","0","197"
269178,"2022-04-01","2022-04-04","2022-04-01","3","-3"
282697,"2022-07-26","2022-07-26","2022-07-26","0","0"
263894,"2022-02-16","2022-07-29","2022-11-28","163","122"
274861,"2022-05-23","2022-05-30","2022-05-30","7","0"
280000,"2022-07-01","2022-08-23","2022-07-01","53","-53"
268574,"2022-03-25","2022-08-27","2022-03-25","155","-155"
260910,"2022-01-19","2022-01-22","2022-01-19","3","-3"
270599,"2022-04-12","2022-04-16","2022-04-20","4","4"
263388,"2022-02-11","2022-02-11","2022-02-18","0","7"
270988,"2022-04-16","2022-04-16","2022-06-18","0","63"
288659,"2022-08-30","2022-09-10","2022-09-12","11","2"
275021,"2022-05-25","2022-05-25","2022-05-25","0","0"
288909,"2022-08-31","2022-08-31","2022-09-07","0","7"
296613,"2022-10-28","2022-10-28","2022-10-31","0","3"
264802,"2022-02-23","2022-09-20","2023-06-24","209","277"
260200,"2022-01-12","2022-01-12","2022-02-10","0","29"
274552,"2022-05-20","2022-05-20","2022-06-16","0","27"
269414,"2022-04-02","2022-04-02","2022-04-02","0","0"
263293,"2022-02-10","2022-02-16","2022-02-16","6","0"
258119,"2021-12-25","2021-12-25","2021-12-25","0","0"
287001,"2022-08-18","2022-08-18","2022-11-22","0","96"
277271,"2022-06-10","2022-06-10","2022-06-10","0","0"
255529,"2021-12-03","2021-12-03","2021-12-07","0","4"
293126,"2022-10-03","2022-10-03","2022-10-03","0","0"
271896,"2022-04-25","2022-04-25","2022-04-26","0","1"
262377,"2022-02-02","2022-02-02","2022-02-09","0","7"
294429,"2022-10-12","2022-10-13","2022-10-17","1","4"
269864,"2022-04-06","2022-04-13","2022-04-13","7","0"
275438,"2022-05-30","2022-05-30","2022-05-30","0","0"
291011,"2022-09-16","2022-09-16","2022-09-18","0","2"
275412,"2022-05-30","2022-05-31","2022-05-30","1","-1"
261773,"2022-01-27","2022-01-27","2022-01-27","0","0"
296564,"2022-10-28","2022-10-28","2022-10-31","0","3"
292032,"2022-09-25","2022-09-25","2022-09-25","0","0"
255271,"2021-12-01","2021-12-01","2021-12-01","0","0"
271557,"2022-04-22","2022-04-22","2022-04-22","0","0"
280244,"2022-07-04","2022-07-04","2023-02-21","0","232"
264572,"2022-02-22","2022-02-22","2022-02-25","0","3"
270710,"2022-04-13","2022-04-13","2022-04-13","0","0"
282529,"2022-07-25","2022-07-29","2022-07-26","4","-3"
280547,"2022-07-06","2022-07-13","2022-07-20","7","7"
280011,"2022-07-01","2022-07-01","2022-07-01","0","0"
272755,"2022-05-04","2022-05-06","2022-05-10","2","4"
257521,"2021-12-19","2021-12-19","2021-12-19","0","0"
257244,"2021-12-17","2021-12-17","2021-12-17","0","0"
257405,"2021-12-18","2021-12-18","2021-12-18","0","0"
260180,"2022-01-12","2022-01-13","2022-01-12","1","-1"
293367,"2022-10-05","2022-10-05","2022-10-05","0","0"
272147,"2022-04-27","2022-04-27","2022-04-27","0","0"
274166,"2022-05-16","2022-05-16","2022-05-16","0","0"
259026,"2022-01-02","2022-01-02","2022-01-04","0","2"
286190,"2022-08-15","2022-08-15","2022-08-22","0","7"
282304,"2022-07-22","2022-07-27","2022-07-26","5","-1"
259510,"2022-01-06","2022-01-06","2022-01-07","0","1"
292403,"2022-09-28","2022-09-28","2022-11-29","0","62"
276781,"2022-06-06","2022-06-13","2022-06-12","7","-1"
286606,"2022-08-16","2022-08-16","2022-08-21","0","5"
258051,"2021-12-25","2021-12-25","2021-12-25","0","0"
269937,"2022-04-07","2022-04-07","2022-05-31","0","54"
262297,"2022-02-01","2022-02-02","2022-02-01","1","-1"
290303,"2022-09-11","2022-09-12","2022-09-11","1","-1"
290095,"2022-09-10","2022-09-11","2022-11-25","1","75"
274746,"2022-05-22","2022-05-22","2022-06-01","0","10"
257486,"2021-12-19","2021-12-19","2022-02-01","0","44"
261263,"2022-01-22","2022-01-22","2022-01-22","0","0"
260164,"2022-01-12","2022-01-12","2022-01-12","0","0"
295526,"2022-10-21","2022-10-21","2022-10-21","0","0"
291744,"2022-09-22","2022-09-22","2022-09-28","0","6"
278734,"2022-06-21","2022-08-03","2022-06-21","43","-43"
284241,"2022-08-07","2022-08-08","2022-08-08","1","0"
260029,"2022-01-11","2022-01-11","2022-01-11","0","0"
285201,"2022-08-13","2022-08-13","2022-08-25","0","12"
266072,"2022-03-06","2022-03-07","2022-03-06","1","-1"
268736,"2022-03-27","2022-03-28","2022-03-28","1","0"
258636,"2021-12-30","2022-01-01","2021-12-30","2","-2"
270957,"2022-04-16","2022-04-16","2022-04-16","0","0"
284110,"2022-08-06","2022-08-08","2022-08-08","2","0"
283887,"2022-08-04","2022-08-04","2022-08-09","0","5"
276395,"2022-06-03","2022-06-03","2022-06-03","0","0"
265370,"2022-02-28","2022-02-28","2022-07-31","0","153"
